06,07,09,18,21,31
01,05,09,12,18,36
04,05,09,18,19,35
01,26,28,31,34,36
10,14,17,20,31,36
02,06,29,30,31,32
04,08,17,20,24,32
06,07,14,27,31,32
06,17,24,25,30,34
06,08,13,20,34,35
06,11,15,16,17,22
06,14,20,28,33,34
07,11,30,31,33,35
13,22,25,26,33,37
03,06,14,19,34,35
04,16,26,29,35,37
05,18,19,23,24,35
04,05,06,25,26,28
02,05,09,12,15,16
11,17,25,26,27,32
10,13,16,29,30,35
03,12,13,16,29,34
04,09,10,15,26,27
04,09,17,25,33,37
04,05,06,31,33,36
06,09,22,25,31,34
02,03,04,05,11,15
02,05,15,24,32,33
12,13,22,25,28,36
05,07,10,16,31,32
05,11,13,19,32,37
05,07,13,17,25,32
03,15,17,21,26,29
05,16,18,26,29,35
02,12,14,15,33,37
05,06,11,18,19,35
09,17,20,21,30,33
06,21,24,27,28,37
04,10,11,13,20,32
01,15,17,29,33,34
09,11,14,20,31,33
06,07,15,19,27,33
02,07,10,13,25,34
02,07,14,17,19,28
03,20,23,25,32,35
01,09,13,20,22,36
09,12,17,18,20,36
09,16,22,27,30,34
02,06,14,17,25,33
08,13,16,19,23,36
01,11,15,19,21,32
14,18,21,27,28,34
06,09,12,14,25,29
08,19,25,30,31,36
06,08,09,20,23,28
07,13,24,26,35,37
02,15,17,27,34,37
11,12,13,16,34,36
07,13,19,21,25,37
04,08,09,10,15,24
01,07,08,11,12,25
06,12,15,19,26,27
09,14,15,23,27,33
01,12,15,19,27,31
01,15,16,31,32,33
02,04,12,14,26,37
01,04,07,21,22,36
12,17,26,28,32,35
04,06,07,12,17,27
01,04,09,12,30,31
01,07,10,13,29,36
03,05,06,10,15,36
07,08,20,31,36,37
03,06,13,23,25,29
11,24,25,27,29,32
02,05,10,19,27,36
01,02,08,19,31,33
06,10,13,20,23,35
03,04,05,15,24,33
01,08,18,25,29,30
01,04,05,24,31,32
09,16,17,21,26,29
17,19,21,23,25,34
03,13,21,24,27,35
01,14,15,17,28,37
08,09,10,18,29,32
07,10,11,19,22,29
10,13,17,22,29,35
02,03,05,08,14,19
06,07,14,19,20,23
09,15,17,23,26,29
02,12,19,29,30,33
15,20,27,29,36,37
07,14,15,20,27,36
01,03,09,26,29,34
01,03,05,11,25,31
01,11,12,13,18,36
02,16,26,27,33,35
09,10,18,19,29,35
08,18,21,23,33,36
03,09,16,27,34,37
01,04,16,21,22,35
01,02,04,08,18,21
10,12,19,23,27,30
07,16,20,30,32,33
01,22,27,30,31,37
14,22,25,28,33,34
09,12,15,25,29,30
04,08,11,12,15,25
02,05,12,15,16,34
03,09,10,16,27,31
02,15,17,18,31,33
06,07,16,30,32,36
02,06,09,11,33,37
03,05,07,23,26,36
03,24,26,27,32,37
08,16,18,19,35,36
08,17,21,27,33,34
07,12,17,19,36,37
01,05,10,11,23,34
08,09,30,31,33,36
07,10,12,15,18,34
01,06,09,12,28,29
04,08,09,28,33,37
06,08,14,15,23,36
16,20,21,23,34,36
04,24,28,30,32,34
01,05,10,13,30,33
06,13,15,20,29,31
06,08,10,12,25,34
12,15,17,20,21,23
05,11,13,18,32,37
15,20,23,26,28,37
03,15,19,26,27,31
03,04,19,27,32,33
08,17,22,24,28,33
08,15,16,23,27,33
13,18,20,23,26,36
04,09,20,23,32,37
07,09,17,20,22,26
02,09,13,31,34,37
06,09,19,21,28,36
07,08,21,24,26,30
01,04,15,26,33,37
02,06,10,12,24,31
01,02,17,19,36,37
14,17,27,29,33,35
07,16,17,22,26,29
07,12,24,28,32,34
05,10,14,20,23,28
08,16,17,20,29,30
07,11,22,28,31,32
07,20,24,26,33,36
04,10,11,14,15,33
10,12,13,17,30,31
03,05,08,09,19,36
11,14,16,30,32,35
04,06,12,20,31,36
08,26,28,29,33,35
04,08,24,25,30,31
15,19,21,30,32,35
01,03,09,23,25,27
02,06,12,13,26,37
01,02,11,16,28,37
06,11,15,20,36,37
04,05,08,17,26,36
15,18,21,28,31,33
06,21,25,26,30,35
04,11,25,26,28,37
02,12,13,23,25,30
03,09,10,17,24,32
13,17,18,23,25,27
02,04,10,11,18,35
01,11,21,23,27,36
16,24,28,34,35,36
15,18,23,25,29,37
10,16,19,23,24,28
04,12,20,30,35,37
